gamelog_id,player_id,year_id,game_date,game_num,week_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,offense,off_pct,defense,def_pct,special_teams,st_pct,safety_md,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,def_int,def_int_yds,def_int_td,pass_defended,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,punt,punt_yds,punt_yds_per_punt,punt_blocked
NewtCa00_1,NewtCa00,2011,2011-09-11,1,1,22.123,CAR,@,ARI,L 21-28,*,24,37,64.86,422,2,1,110.4,4,19,11.41,11.27,8,18,2.25,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_2,NewtCa00,2011,2011-09-18,2,2,22.130,CAR,,GNB,L 23-30,*,28,46,60.87,432,1,3,72.0,4,28,9.39,6.89,10,53,5.30,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_3,NewtCa00,2011,2011-09-25,3,3,22.137,CAR,,JAX,W 16-10,*,18,34,52.94,158,1,0,75.4,0,0,4.65,5.24,7,27,3.86,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_4,NewtCa00,2011,2011-10-02,4,4,22.144,CAR,@,CHI,L 29-34,*,27,46,58.70,374,1,1,83.1,0,0,8.13,7.59,8,35,4.38,2,0,0,0,,0,0.0%,,,2,12,1,0,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_5,NewtCa00,2011,2011-10-09,5,5,22.151,CAR,,NOR,L 27-30,*,16,31,51.61,224,2,1,83.3,1,5,7.23,7.06,7,27,3.86,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_6,NewtCa00,2011,2011-10-16,6,6,22.158,CAR,@,ATL,L 17-31,*,21,35,60.00,237,0,3,44.6,1,8,6.77,2.91,7,47,6.71,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_7,NewtCa00,2011,2011-10-23,7,7,22.165,CAR,,WAS,W 33-20,*,18,23,78.26,256,1,0,127.5,4,24,11.13,12.00,10,59,5.90,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_8,NewtCa00,2011,2011-10-30,8,8,22.172,CAR,,MIN,L 21-24,*,22,35,62.86,290,3,0,117.6,3,25,8.29,10.00,6,53,8.83,0,0,0,0,,0,0.0%,,,0,0,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_9,NewtCa00,2011,2011-11-13,9,10,22.186,CAR,,TEN,L 3-30,*,23,40,57.50,212,0,1,61.7,5,46,5.30,4.18,7,55,7.86,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewtCa00_10,NewtCa00,2011,2011-11-20,10,11,22.193,CAR,@,DET,L 35-49,*,22,38,57.89,280,1,4,50.2,1,8,7.37,3.16,7,37,5.29,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
